Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,50.82,49.18,14.96,0.00,0.00,0.00
2013-07-09,50.82,49.18,14.96,0.00,0.00,0.00
2013-07-02,50.54,49.46,14.96,0.00,0.00,0.00
2013-06-25,52.84,47.16,8.86,0.00,0.00,0.00
2013-06-18,78.14,21.86,1.80,0.00,0.00,0.00
2013-06-11,78.14,21.86,1.80,0.00,0.00,0.00
2013-06-04,78.14,21.86,1.80,0.00,0.00,0.00
2013-05-28,78.14,21.86,1.80,0.00,0.00,0.00
2013-05-21,78.14,21.86,1.80,0.00,0.00,0.00
2013-05-14,78.14,21.86,1.80,0.00,0.00,0.00
2013-05-07,78.14,21.86,1.80,0.00,0.00,0.00
2013-04-30,72.43,27.57,1.80,0.00,0.00,0.00
2013-04-23,61.40,38.60,1.80,0.00,0.00,0.00
2013-04-16,61.40,38.60,1.80,0.00,0.00,0.00
2013-04-09,46.01,53.99,1.80,0.00,0.00,0.00
2013-04-02,46.01,53.99,1.80,0.00,0.00,0.00
2013-03-26,46.01,53.99,1.80,0.00,0.00,0.00
2013-03-19,46.01,53.99,1.80,0.00,0.00,0.00
2013-03-12,46.01,53.99,1.80,0.00,0.00,0.00
2013-03-05,47.17,52.83,1.80,0.00,0.00,0.00
2013-02-26,42.26,57.74,1.80,0.00,0.00,0.00
2013-02-19,42.26,57.74,1.80,0.00,0.00,0.00
2013-02-12,42.26,57.74,1.80,0.00,0.00,0.00
2013-02-05,42.26,57.74,1.80,0.00,0.00,0.00
2013-01-29,35.24,64.76,1.80,0.00,0.00,0.00
2013-01-22,35.24,64.76,1.80,0.00,0.00,0.00
2013-01-15,35.24,64.76,1.80,0.00,0.00,0.00
2013-01-08,35.24,64.76,1.80,0.00,0.00,0.00
2013-01-01,35.24,64.76,1.80,0.00,0.00,0.00
2012-12-25,35.24,64.76,0.00,0.00,0.00,0.00
2012-12-18,53.40,46.60,0.00,0.00,0.00,0.00
2012-12-11,53.40,46.60,0.00,0.00,0.00,0.00
2012-12-04,53.40,46.60,0.00,0.00,0.00,0.00
2012-11-27,53.40,46.60,0.00,0.00,0.00,0.00
2012-11-20,70.64,29.36,0.00,0.00,0.00,0.00
2012-11-13,70.64,29.36,0.00,0.00,0.00,0.00
2012-11-06,70.64,29.36,0.00,0.00,0.00,0.00
2012-10-30,70.64,29.36,0.00,0.00,0.00,0.00
2012-10-23,70.64,29.36,0.00,0.00,0.00,0.00
2012-10-16,70.64,29.36,0.00,0.00,0.00,0.00
2012-10-09,70.64,29.36,0.00,0.00,0.00,0.00
2012-10-02,70.72,29.28,0.00,0.00,0.00,0.00
2012-09-25,70.72,29.28,0.00,0.00,0.00,0.00
2012-09-18,70.72,29.28,0.00,0.00,0.00,0.00
2012-09-11,70.72,29.28,0.00,0.00,0.00,0.00
2012-09-04,70.72,29.28,0.00,0.00,0.00,0.00
2012-08-28,70.72,29.28,0.00,0.00,0.00,0.00
2012-08-21,70.72,29.28,0.00,0.00,0.00,0.00
2012-08-14,70.72,29.28,0.00,0.00,0.00,0.00
2012-08-07,70.72,29.28,0.00,0.00,0.00,0.00
2012-07-31,70.72,29.28,0.00,0.00,0.00,0.00
2012-07-24,70.72,29.28,0.00,0.00,0.00,0.00
2012-07-17,70.72,29.28,0.00,0.00,0.00,0.00
2012-07-10,70.72,29.28,0.00,0.00,0.00,0.00
2012-07-03,58.00,42.00,0.00,0.00,0.00,0.00
2012-06-26,58.00,42.00,0.00,0.00,0.00,0.00
2012-06-19,81.65,18.35,0.00,0.00,0.00,0.00
2012-06-12,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-29,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-22,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-15,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-08,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-03,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,97.16,2.84,0.00,0.00,0.00,0.00
2011-09-06,97.16,2.84,0.00,0.00,0.00,0.00
2011-08-30,86.20,13.80,0.00,0.00,0.00,0.00
