Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,99.94,0.06,0.00,0.00,0.00,0.00
2013-06-25,99.92,0.08,0.00,0.00,0.00,0.00
2013-06-18,99.92,0.08,0.00,0.00,0.00,0.00
2013-06-11,99.92,0.08,0.00,0.00,0.00,0.00
2013-06-04,99.92,0.08,0.00,0.00,0.00,0.00
2013-05-28,99.92,0.08,0.00,0.00,0.00,0.00
2013-05-21,99.92,0.08,0.00,0.00,0.00,0.00
2013-05-14,99.62,0.38,0.00,0.00,0.00,0.00
2013-05-07,88.96,11.04,1.67,0.00,0.00,0.00
2013-04-30,90.83,9.17,0.00,0.00,0.00,0.00
2013-04-23,90.83,9.17,0.00,0.00,0.00,0.00
2013-04-16,90.83,9.17,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,52.19,47.81,25.65,0.48,0.00,0.00
2012-10-16,51.19,48.81,26.21,0.48,0.00,0.00
2012-10-09,51.19,48.81,26.21,0.48,0.00,0.00
2012-10-02,48.46,51.54,27.97,0.48,0.00,0.00
2012-09-25,48.46,51.54,36.53,0.48,0.00,0.00
2012-09-18,48.01,51.99,35.64,0.48,0.00,0.00
2012-09-11,48.09,51.91,40.06,0.48,0.00,0.00
2012-09-04,47.16,52.84,47.79,8.97,0.00,0.00
2012-08-28,38.28,61.72,47.79,8.97,0.00,0.00
2012-08-21,26.90,73.10,51.45,26.82,0.00,0.00
2012-08-14,24.75,75.25,51.45,28.55,0.00,0.00
2012-08-07,23.63,76.37,51.45,28.55,0.00,0.00
2012-07-31,23.63,76.37,51.45,28.55,0.00,0.00
2012-07-24,17.69,82.31,52.44,19.93,0.00,0.00
2012-07-17,7.53,92.47,55.16,0.00,0.00,0.00
2012-07-10,7.53,92.47,48.18,0.00,0.00,0.00
2012-07-03,29.31,70.69,47.21,0.00,0.00,0.00
2012-06-26,40.06,59.94,28.94,0.00,0.00,0.00
2012-06-19,52.14,47.86,17.65,0.00,0.00,0.00
2012-06-12,55.68,44.32,17.65,0.00,0.00,0.00
2012-06-05,55.68,44.32,17.65,0.00,0.00,0.00
2012-05-29,26.91,73.09,28.35,0.00,0.00,0.00
2012-05-22,26.50,73.50,28.35,0.00,0.00,0.00
2012-05-15,14.24,85.76,47.71,0.00,0.00,0.00
2012-05-08,3.51,96.49,69.06,4.07,0.00,0.00
2012-05-01,1.35,98.65,50.95,4.07,0.00,0.00
2012-04-24,1.35,98.65,50.95,14.01,0.00,0.00
2012-04-17,1.43,98.57,53.71,21.04,0.00,0.00
2012-04-10,1.95,98.05,53.71,21.04,0.00,0.00
2012-04-03,0.00,100.00,21.24,0.00,0.00,0.00
2012-03-27,13.94,86.06,5.87,0.00,0.00,0.00
2012-03-20,13.94,86.06,5.87,0.00,0.00,0.00
2012-03-13,81.51,18.49,5.87,0.00,0.00,0.00
2012-03-06,81.51,18.49,5.87,0.00,0.00,0.00
2012-02-28,77.42,22.58,5.87,0.00,0.00,0.00
2012-02-21,77.42,22.58,5.87,0.00,0.00,0.00
2012-02-14,77.42,22.58,5.87,0.00,0.00,0.00
2012-02-07,77.42,22.58,5.87,0.00,0.00,0.00
2012-01-31,77.42,22.58,5.87,0.00,0.00,0.00
2012-01-24,77.99,22.01,0.00,0.00,0.00,0.00
2012-01-17,77.99,22.01,0.00,0.00,0.00,0.00
2012-01-10,77.99,22.01,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,91.26,8.74,0.00,0.00,0.00,0.00
2011-08-30,80.35,19.65,0.07,0.00,0.00,0.00
2011-08-23,32.99,67.01,17.53,0.00,0.00,0.00
2011-08-16,8.82,91.18,17.89,0.00,0.00,0.00
2011-08-09,4.41,95.59,84.02,5.39,0.00,0.00
2011-08-02,4.41,95.59,84.02,5.39,0.00,0.00
2011-07-26,6.21,93.79,23.00,5.39,0.00,0.00
2011-07-19,13.71,86.29,23.00,5.39,0.00,0.00
2011-07-12,14.18,85.82,23.58,7.19,0.00,0.00
2011-07-05,12.51,87.49,25.27,9.89,0.00,0.00
2011-06-28,30.73,69.27,25.27,0.00,0.00,0.00
2011-06-21,36.77,63.23,25.27,0.00,0.00,0.00
2011-06-14,36.54,63.46,25.20,0.00,0.00,0.00
2011-06-07,54.42,45.58,17.74,0.00,0.00,0.00
2011-05-31,77.47,22.53,13.92,0.00,0.00,0.00
2011-05-24,77.47,22.53,11.14,0.00,0.00,0.00
2011-05-17,75.13,24.87,0.00,0.00,0.00,0.00
2011-05-10,93.35,6.65,0.00,0.00,0.00,0.00
2011-05-03,93.35,6.65,0.00,0.00,0.00,0.00
2011-04-26,94.98,5.02,0.00,0.00,0.00,0.00
2011-04-19,94.98,5.02,0.00,0.00,0.00,0.00
2011-04-12,94.98,5.02,0.00,0.00,0.00,0.00
2011-04-05,95.10,4.90,0.00,0.00,0.00,0.00
2011-03-29,92.63,7.37,0.00,0.00,0.00,0.00
2011-03-22,92.63,7.37,0.00,0.00,0.00,0.00
2011-03-15,84.09,15.91,0.00,0.00,0.00,0.00
2011-03-08,77.42,22.58,0.00,0.00,0.00,0.00
2011-03-01,19.50,80.50,0.00,0.00,0.00,0.00
2011-02-22,19.50,80.50,0.00,0.00,0.00,0.00
2011-02-15,19.50,80.50,0.00,0.00,0.00,0.00
2011-02-08,19.74,80.26,0.00,0.00,0.00,0.00
2011-02-01,19.74,80.26,0.00,0.00,0.00,0.00
2011-01-25,19.74,80.26,0.00,0.00,0.00,0.00
2011-01-18,19.91,80.09,0.00,0.00,0.00,0.00
2011-01-11,21.18,78.82,0.00,0.00,0.00,0.00
2011-01-04,94.24,5.76,0.00,0.00,0.00,0.00
2010-12-28,94.24,5.76,0.00,0.00,0.00,0.00
2010-12-21,94.24,5.76,0.00,0.00,0.00,0.00
2010-12-14,94.24,5.76,0.00,0.00,0.00,0.00
2010-12-07,94.24,5.76,0.00,0.00,0.00,0.00
2010-11-30,83.48,16.52,5.46,0.00,0.00,0.00
2010-11-23,83.48,16.52,5.46,0.00,0.00,0.00
2010-11-16,83.48,16.52,7.21,0.00,0.00,0.00
2010-11-09,83.48,16.52,7.21,0.00,0.00,0.00
2010-11-02,83.48,16.52,14.07,1.56,0.00,0.00
