Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,99.12,0.88,0.00,0.00,0.00,0.00
2013-07-02,98.99,1.01,0.00,0.00,0.00,0.00
2013-06-25,92.95,7.05,0.00,0.00,0.00,0.00
2013-06-18,92.95,7.05,0.00,0.00,0.00,0.00
2013-06-11,92.95,7.05,0.00,0.00,0.00,0.00
2013-06-04,92.95,7.05,0.00,0.00,0.00,0.00
2013-05-28,92.95,7.05,0.00,0.00,0.00,0.00
2013-05-21,92.79,7.21,0.01,0.00,0.00,0.00
2013-05-14,93.24,6.76,0.02,0.00,0.00,0.00
2013-05-07,93.15,6.85,0.70,0.00,0.00,0.00
2013-04-30,98.08,1.92,0.00,0.00,0.00,0.00
2013-04-23,93.57,6.43,0.00,0.00,0.00,0.00
2013-04-16,93.57,6.43,0.00,0.00,0.00,0.00
2013-04-09,97.09,2.91,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,96.35,3.65,0.00,0.00,0.00,0.00
2013-02-19,96.35,3.65,0.00,0.00,0.00,0.00
2013-02-12,96.35,3.65,0.00,0.00,0.00,0.00
2013-02-05,96.31,3.69,0.00,0.00,0.00,0.00
2013-01-29,88.42,11.58,0.00,0.00,0.00,0.00
2013-01-22,88.42,11.58,0.00,0.00,0.00,0.00
2013-01-15,83.38,16.62,5.04,0.00,0.00,0.00
2013-01-08,83.45,16.55,5.04,0.00,0.00,0.00
2013-01-01,85.44,14.56,5.01,0.00,0.00,0.00
2012-12-25,85.44,14.56,5.01,0.00,0.00,0.00
2012-12-18,83.45,16.55,5.01,0.00,0.00,0.00
2012-12-11,85.74,14.26,5.01,0.00,0.00,0.00
2012-12-04,74.23,25.77,8.80,0.00,0.00,0.00
2012-11-27,74.23,25.77,8.76,0.00,0.00,0.00
2012-11-20,75.45,24.55,8.13,0.00,0.00,0.00
2012-11-13,74.40,25.60,10.23,0.00,0.00,0.00
2012-11-06,74.40,25.60,10.23,0.00,0.00,0.00
2012-10-30,66.80,33.20,12.46,2.82,0.00,0.00
2012-10-23,36.00,64.00,27.21,4.52,0.00,0.00
2012-10-16,34.61,65.39,28.70,4.52,0.00,0.00
2012-10-09,34.39,65.61,33.50,6.65,0.00,0.00
2012-10-02,29.26,70.74,42.25,7.12,0.00,0.00
2012-09-25,28.85,71.15,42.27,11.07,0.00,0.00
2012-09-18,13.53,86.47,48.14,5.63,0.00,0.00
2012-09-11,13.64,86.36,48.16,7.31,0.00,0.00
2012-09-04,7.11,92.89,55.82,7.75,0.00,0.00
2012-08-28,6.61,93.39,65.23,7.57,1.64,0.00
2012-08-21,14.95,85.05,60.73,3.88,0.00,0.00
2012-08-14,15.30,84.70,62.10,3.58,0.74,0.00
2012-08-07,9.14,90.86,73.23,11.87,1.05,0.00
2012-07-31,2.21,97.79,83.90,15.80,0.01,0.00
2012-07-24,0.00,100.00,97.83,12.95,0.00,0.00
2012-07-17,0.00,100.00,98.32,12.95,0.00,0.00
2012-07-10,0.00,100.00,78.04,9.93,0.00,0.00
2012-07-03,5.37,94.63,65.62,3.29,0.00,0.00
2012-06-26,7.72,92.28,36.44,3.29,0.00,0.00
2012-06-19,8.61,91.39,19.21,3.29,0.00,0.00
2012-06-12,53.82,46.18,3.40,0.00,0.00,0.00
2012-06-05,79.78,20.22,0.07,0.00,0.00,0.00
2012-05-29,79.78,20.22,0.00,0.00,0.00,0.00
2012-05-22,80.21,19.79,0.00,0.00,0.00,0.00
2012-05-15,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-08,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-01,99.99,0.01,0.00,0.00,0.00,0.00
2012-04-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-04-03,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,95.47,4.53,0.00,0.00,0.00,0.00
2011-09-13,95.47,4.53,0.00,0.00,0.00,0.00
2011-09-06,95.13,4.87,0.00,0.00,0.00,0.00
2011-08-30,93.17,6.83,0.00,0.00,0.00,0.00
2011-08-23,87.80,12.20,0.00,0.00,0.00,0.00
2011-08-16,87.80,12.20,0.00,0.00,0.00,0.00
2011-08-09,81.86,18.14,5.33,0.00,0.00,0.00
2011-08-02,81.86,18.14,5.33,0.00,0.00,0.00
2011-07-26,87.92,12.08,0.00,0.00,0.00,0.00
2011-07-19,84.26,15.74,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,94.51,5.49,0.00,0.00,0.00,0.00
2011-04-12,94.51,5.49,0.00,0.00,0.00,0.00
2011-04-05,94.59,5.41,0.00,0.00,0.00,0.00
2011-03-29,94.59,5.41,0.00,0.00,0.00,0.00
2011-03-22,94.59,5.41,0.00,0.00,0.00,0.00
2011-03-15,93.46,6.54,0.00,0.00,0.00,0.00
2011-03-08,93.46,6.54,0.00,0.00,0.00,0.00
2011-03-01,93.46,6.54,0.00,0.00,0.00,0.00
2011-02-22,93.46,6.54,0.00,0.00,0.00,0.00
2011-02-15,87.11,12.89,0.00,0.00,0.00,0.00
2011-02-08,87.11,12.89,0.00,0.00,0.00,0.00
2011-02-01,84.42,15.58,0.00,0.00,0.00,0.00
2011-01-25,84.42,15.58,0.00,0.00,0.00,0.00
2011-01-18,84.42,15.58,0.00,0.00,0.00,0.00
2011-01-11,84.67,15.33,0.00,0.00,0.00,0.00
2011-01-04,84.67,15.33,0.00,0.00,0.00,0.00
2010-12-28,84.83,15.17,0.00,0.00,0.00,0.00
2010-12-21,92.61,7.39,0.00,0.00,0.00,0.00
2010-12-14,92.61,7.39,0.00,0.00,0.00,0.00
2010-12-07,91.88,8.12,0.00,0.00,0.00,0.00
2010-11-30,80.24,19.76,0.00,0.00,0.00,0.00
2010-11-23,37.86,62.14,20.87,8.82,0.00,0.00
2010-11-16,37.87,62.13,20.84,8.82,0.00,0.00
2010-11-09,37.87,62.13,21.15,8.82,0.00,0.00
2010-11-02,37.87,62.13,20.28,8.82,0.00,0.00
2010-10-26,40.07,59.93,16.55,6.76,0.00,0.00
2010-10-19,38.13,61.87,16.55,6.76,0.00,0.00
2010-10-12,37.47,62.53,12.70,2.30,0.00,0.00
2010-10-05,37.47,62.53,12.51,2.19,0.00,0.00
2010-09-28,20.59,79.41,12.51,2.19,0.00,0.00
2010-09-21,19.15,80.85,15.36,2.19,0.00,0.00
2010-09-14,19.60,80.40,14.77,0.00,0.00,0.00
2010-09-07,26.61,73.39,0.00,0.00,0.00,0.00
2010-08-31,35.59,64.41,0.00,0.00,0.00,0.00
2010-08-24,98.97,1.03,0.00,0.00,0.00,0.00
2010-08-17,100.00,0.00,0.00,0.00,0.00,0.00
2010-08-10,100.00,0.00,0.00,0.00,0.00,0.00
2010-08-03,100.00,0.00,0.00,0.00,0.00,0.00
2010-07-27,100.00,0.00,0.00,0.00,0.00,0.00
2010-07-20,98.77,1.23,0.00,0.00,0.00,0.00
2010-07-13,98.77,1.23,0.00,0.00,0.00,0.00
2010-07-06,98.74,1.26,0.00,0.00,0.00,0.00
2010-06-29,100.00,0.00,0.00,0.00,0.00,0.00
2010-06-22,100.00,0.00,0.00,0.00,0.00,0.00
2010-06-15,100.00,0.00,0.00,0.00,0.00,0.00
2010-06-08,100.00,0.00,0.00,0.00,0.00,0.00
2010-06-01,83.61,16.39,0.00,0.00,0.00,0.00
2010-05-25,83.61,16.39,0.00,0.00,0.00,0.00
2010-05-18,78.79,21.21,0.00,0.00,0.00,0.00
2010-05-11,45.80,54.20,0.00,0.00,0.00,0.00
2010-05-04,42.31,57.69,0.00,0.00,0.00,0.00
2010-04-27,40.88,59.12,0.00,0.00,0.00,0.00
2010-04-20,77.28,22.72,0.00,0.00,0.00,0.00
2010-04-13,77.41,22.59,0.00,0.00,0.00,0.00
