Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,98.42,1.58,0.00,0.00,0.00,0.00
2013-07-02,97.30,2.70,0.00,0.00,0.00,0.00
2013-06-25,72.09,27.91,0.90,0.00,0.00,0.00
2013-06-18,72.09,27.91,0.90,0.00,0.00,0.00
2013-06-11,75.12,24.88,0.90,0.00,0.00,0.00
2013-06-04,74.03,25.97,0.90,0.00,0.00,0.00
2013-05-28,74.03,25.97,0.90,0.00,0.00,0.00
2013-05-21,75.15,24.85,0.98,0.00,0.00,0.00
2013-05-14,81.85,18.15,1.01,0.00,0.00,0.00
2013-05-07,38.56,61.44,0.94,0.00,0.00,0.00
2013-04-30,71.92,28.08,0.00,0.00,0.00,0.00
2013-04-23,71.92,28.08,0.00,0.00,0.00,0.00
2013-04-16,71.92,28.08,0.00,0.00,0.00,0.00
2013-04-09,53.91,46.09,0.00,0.00,0.00,0.00
2013-04-02,55.66,44.34,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,88.03,11.97,0.00,0.00,0.00,0.00
2012-10-16,87.09,12.91,0.00,0.00,0.00,0.00
2012-10-09,86.80,13.20,0.00,0.00,0.00,0.00
2012-10-02,86.97,13.03,0.00,0.00,0.00,0.00
2012-09-25,85.38,14.62,0.00,0.00,0.00,0.00
2012-09-18,70.04,29.96,0.00,0.00,0.00,0.00
2012-09-11,70.34,29.66,0.00,0.00,0.00,0.00
2012-09-04,70.34,29.66,0.00,0.00,0.00,0.00
2012-08-28,69.78,30.22,0.00,0.00,0.00,0.00
2012-08-21,64.61,35.39,0.00,0.00,0.00,0.00
2012-08-14,61.49,38.51,0.00,0.00,0.00,0.00
2012-08-07,54.82,45.18,0.00,0.00,0.00,0.00
2012-07-31,54.82,45.18,0.00,0.00,0.00,0.00
2012-07-24,31.47,68.53,9.28,0.00,0.00,0.00
2012-07-17,31.20,68.80,9.28,0.00,0.00,0.00
2012-07-10,50.96,49.04,9.27,0.00,0.00,0.00
2012-07-03,68.69,31.31,6.25,0.00,0.00,0.00
2012-06-26,89.57,10.43,0.00,0.00,0.00,0.00
2012-06-19,89.57,10.43,0.00,0.00,0.00,0.00
2012-06-12,95.64,4.36,0.00,0.00,0.00,0.00
2012-06-05,99.60,0.40,0.00,0.00,0.00,0.00
2012-05-29,91.32,8.68,0.00,0.00,0.00,0.00
2012-05-22,84.36,15.64,0.00,0.00,0.00,0.00
2012-05-15,82.31,17.69,14.32,0.00,0.00,0.00
2012-05-08,65.22,34.78,14.44,0.00,0.00,0.00
2012-05-01,39.93,60.07,14.44,0.00,0.00,0.00
2012-04-24,39.93,60.07,14.44,0.00,0.00,0.00
2012-04-17,39.90,60.10,14.21,0.00,0.00,0.00
2012-04-10,51.05,48.95,14.21,0.00,0.00,0.00
2012-04-03,53.77,46.23,0.00,0.00,0.00,0.00
2012-03-27,66.18,33.82,0.00,0.00,0.00,0.00
2012-03-20,68.32,31.68,0.00,0.00,0.00,0.00
2012-03-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-03-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-28,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-21,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-14,100.00,0.00,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,82.55,17.45,0.00,0.00,0.00,0.00
2011-08-30,65.99,34.01,0.00,0.00,0.00,0.00
2011-08-23,48.12,51.88,1.99,0.00,0.00,0.00
2011-08-16,46.88,53.12,16.36,0.00,0.00,0.00
2011-08-09,32.57,67.43,49.06,0.00,0.00,0.00
2011-08-02,32.57,67.43,49.06,0.00,0.00,0.00
2011-07-26,35.76,64.24,0.00,0.00,0.00,0.00
2011-07-19,54.24,45.76,0.00,0.00,0.00,0.00
2011-07-12,80.26,19.74,0.00,0.00,0.00,0.00
2011-07-05,95.46,4.54,0.00,0.00,0.00,0.00
2011-06-28,97.91,2.09,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
