Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,80.47,19.53,1.81,0.00,0.00,0.00
2013-07-09,88.51,11.49,1.81,0.00,0.00,0.00
2013-07-02,88.41,11.59,1.81,0.00,0.00,0.00
2013-06-25,88.41,11.59,1.84,0.00,0.00,0.00
2013-06-18,82.09,17.91,3.21,0.00,0.00,0.00
2013-06-11,87.11,12.89,0.03,0.00,0.00,0.00
2013-06-04,87.53,12.47,0.03,0.00,0.00,0.00
2013-05-28,82.56,17.44,0.00,0.00,0.00,0.00
2013-05-21,82.63,17.37,0.00,0.00,0.00,0.00
2013-05-14,82.65,17.35,0.00,0.00,0.00,0.00
2013-05-07,82.65,17.35,0.00,0.00,0.00,0.00
2013-04-30,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,94.18,5.82,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-09,84.27,15.73,0.00,0.00,0.00,0.00
2012-10-02,99.99,0.01,0.00,0.00,0.00,0.00
2012-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-11,95.83,4.17,0.00,0.00,0.00,0.00
2012-09-04,95.83,4.17,0.00,0.00,0.00,0.00
2012-08-28,95.83,4.17,0.00,0.00,0.00,0.00
2012-08-21,95.83,4.17,0.00,0.00,0.00,0.00
2012-08-14,95.83,4.17,0.00,0.00,0.00,0.00
2012-08-07,95.83,4.17,0.00,0.00,0.00,0.00
2012-07-31,95.83,4.17,0.00,0.00,0.00,0.00
2012-07-24,95.83,4.17,0.00,0.00,0.00,0.00
2012-07-17,95.83,4.17,0.00,0.00,0.00,0.00
2012-07-10,85.32,14.68,4.07,0.00,0.00,0.00
2012-07-03,85.32,14.68,4.07,0.00,0.00,0.00
2012-06-26,85.32,14.68,3.55,0.00,0.00,0.00
2012-06-19,85.32,14.68,3.55,0.00,0.00,0.00
2012-06-12,85.32,14.68,3.55,0.00,0.00,0.00
2012-06-05,79.15,20.85,3.55,0.00,0.00,0.00
2012-05-29,78.87,21.13,3.55,0.00,0.00,0.00
2012-05-22,78.87,21.13,3.55,0.00,0.00,0.00
2012-05-15,78.87,21.13,3.78,0.00,0.00,0.00
2012-05-08,78.87,21.13,3.78,0.00,0.00,0.00
2012-05-01,74.77,25.23,8.54,0.00,0.00,0.00
2012-04-24,74.77,25.23,8.54,0.00,0.00,0.00
2012-04-17,74.77,25.23,8.54,0.00,0.00,0.00
2012-04-10,74.77,25.23,8.54,0.00,0.00,0.00
2012-04-03,74.77,25.23,8.54,0.00,0.00,0.00
2012-03-27,74.77,25.23,8.54,0.00,0.00,0.00
2012-03-20,72.36,27.64,9.29,0.00,0.00,0.00
2012-03-13,55.45,44.55,18.32,0.00,0.00,0.00
2012-03-06,55.45,44.55,18.32,0.00,0.00,0.00
2012-02-28,55.45,44.55,18.32,0.00,0.00,0.00
2012-02-21,55.45,44.55,18.32,0.00,0.00,0.00
2012-02-14,55.45,44.55,18.32,0.00,0.00,0.00
2012-02-07,55.45,44.55,18.32,0.00,0.00,0.00
2012-01-31,53.50,46.50,20.48,0.00,0.00,0.00
2012-01-24,53.48,46.52,20.48,0.00,0.00,0.00
2012-01-17,53.17,46.83,20.89,0.00,0.00,0.00
2012-01-10,53.17,46.83,20.89,0.00,0.00,0.00
2012-01-03,53.17,46.83,0.00,0.00,0.00,0.00
2011-12-27,53.31,46.69,0.00,0.00,0.00,0.00
2011-12-20,79.79,20.21,0.00,0.00,0.00,0.00
2011-12-13,79.79,20.21,0.00,0.00,0.00,0.00
2011-12-06,79.79,20.21,0.00,0.00,0.00,0.00
2011-11-29,85.30,14.70,0.00,0.00,0.00,0.00
2011-11-22,85.24,14.76,0.00,0.00,0.00,0.00
2011-11-15,85.24,14.76,0.00,0.00,0.00,0.00
2011-11-08,89.19,10.81,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-09,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-02,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,87.75,12.25,0.00,0.00,0.00,0.00
2011-03-08,87.75,12.25,0.00,0.00,0.00,0.00
2011-03-01,87.75,12.25,0.00,0.00,0.00,0.00
2011-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,100.00,0.00,0.00,0.00,0.00,0.00
