Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,98.47,1.53,0.00,0.00,0.00,0.00
2013-06-18,98.47,1.53,0.00,0.00,0.00,0.00
2013-06-11,98.47,1.53,0.00,0.00,0.00,0.00
2013-06-04,47.06,52.94,0.00,0.00,0.00,0.00
2013-05-28,47.06,52.94,0.00,0.00,0.00,0.00
2013-05-21,2.07,97.93,33.75,0.00,0.00,0.00
2013-05-14,2.07,97.93,33.75,0.00,0.00,0.00
2013-05-07,0.00,100.00,33.75,0.00,0.00,0.00
2013-04-30,25.00,75.00,0.00,0.00,0.00,0.00
2013-04-23,60.85,39.15,0.00,0.00,0.00,0.00
2013-04-16,60.85,39.15,0.00,0.00,0.00,0.00
2013-04-09,54.58,45.42,0.00,0.00,0.00,0.00
2013-04-02,70.45,29.55,0.00,0.00,0.00,0.00
2013-03-26,71.24,28.76,0.00,0.00,0.00,0.00
2013-03-19,71.24,28.76,0.00,0.00,0.00,0.00
2013-03-12,71.24,28.76,0.00,0.00,0.00,0.00
2013-03-05,71.24,28.76,0.00,0.00,0.00,0.00
2013-02-26,71.24,28.76,0.00,0.00,0.00,0.00
2013-02-19,71.24,28.76,0.00,0.00,0.00,0.00
2013-02-12,71.24,28.76,0.00,0.00,0.00,0.00
2013-02-05,67.69,32.31,0.00,0.00,0.00,0.00
2013-01-29,67.69,32.31,0.00,0.00,0.00,0.00
2013-01-22,67.69,32.31,0.00,0.00,0.00,0.00
2013-01-15,67.69,32.31,0.00,0.00,0.00,0.00
2013-01-08,67.69,32.31,0.00,0.00,0.00,0.00
2013-01-01,67.69,32.31,0.00,0.00,0.00,0.00
2012-12-25,67.69,32.31,0.00,0.00,0.00,0.00
2012-12-18,67.69,32.31,0.00,0.00,0.00,0.00
2012-12-11,67.69,32.31,0.00,0.00,0.00,0.00
2012-12-04,67.69,32.31,0.00,0.00,0.00,0.00
2012-11-27,67.69,32.31,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-18,91.54,8.46,0.00,0.00,0.00,0.00
2012-09-11,91.38,8.62,0.00,0.00,0.00,0.00
2012-09-04,90.50,9.50,0.00,0.00,0.00,0.00
2012-08-28,88.02,11.98,0.00,0.00,0.00,0.00
2012-08-21,87.91,12.09,0.00,0.00,0.00,0.00
2012-08-14,74.58,25.42,1.50,0.00,0.00,0.00
2012-08-07,75.75,24.25,1.50,0.00,0.00,0.00
2012-07-31,75.75,24.25,1.50,0.00,0.00,0.00
2012-07-24,67.90,32.10,1.50,0.00,0.00,0.00
2012-07-17,71.40,28.60,0.00,0.00,0.00,0.00
2012-07-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-07-03,99.72,0.28,0.00,0.00,0.00,0.00
2012-06-26,99.72,0.28,0.00,0.00,0.00,0.00
2012-06-19,99.72,0.28,0.00,0.00,0.00,0.00
2012-06-12,99.72,0.28,0.00,0.00,0.00,0.00
2012-06-05,99.72,0.28,0.00,0.00,0.00,0.00
2012-05-29,19.10,80.90,0.35,0.00,0.00,0.00
2012-05-22,19.10,80.90,0.91,0.00,0.00,0.00
2012-05-15,19.10,80.90,1.25,0.00,0.00,0.00
2012-05-08,0.00,100.00,77.48,0.06,0.00,0.00
2012-05-01,0.00,100.00,77.48,0.06,0.00,0.00
2012-04-24,0.00,100.00,77.48,0.06,0.00,0.00
2012-04-17,0.00,100.00,79.96,0.52,0.00,0.00
2012-04-10,0.00,100.00,79.96,0.52,0.00,0.00
2012-04-03,0.00,100.00,8.84,0.00,0.00,0.00
2012-03-27,37.20,62.80,0.00,0.00,0.00,0.00
2012-03-20,48.30,51.70,0.00,0.00,0.00,0.00
2012-03-13,62.47,37.53,0.00,0.00,0.00,0.00
2012-03-06,82.82,17.18,0.00,0.00,0.00,0.00
2012-02-28,82.82,17.18,0.00,0.00,0.00,0.00
2012-02-21,82.82,17.18,0.00,0.00,0.00,0.00
2012-02-14,82.82,17.18,0.00,0.00,0.00,0.00
2012-02-07,87.64,12.36,0.00,0.00,0.00,0.00
2012-01-31,87.64,12.36,0.00,0.00,0.00,0.00
2012-01-24,92.03,7.97,0.00,0.00,0.00,0.00
2012-01-17,92.03,7.97,0.00,0.00,0.00,0.00
2012-01-10,99.83,0.17,0.00,0.00,0.00,0.00
2012-01-03,99.83,0.17,0.00,0.00,0.00,0.00
2011-12-27,99.83,0.17,0.00,0.00,0.00,0.00
2011-12-20,99.83,0.17,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-09,64.46,35.54,0.00,0.00,0.00,0.00
2011-08-02,71.04,28.96,0.00,0.00,0.00,0.00
2011-07-26,55.66,44.34,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,83.44,16.56,0.00,0.00,0.00,0.00
2011-02-22,83.44,16.56,0.00,0.00,0.00,0.00
2011-02-15,83.44,16.56,0.00,0.00,0.00,0.00
2011-02-08,83.44,16.56,0.00,0.00,0.00,0.00
2011-02-01,83.44,16.56,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,100.00,0.00,0.00,0.00,0.00,0.00
