Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,78.69,21.31,0.00,0.00,0.00,0.00
2013-05-28,78.43,21.57,0.00,0.00,0.00,0.00
2013-05-21,0.00,100.00,13.06,0.00,0.00,0.00
2013-05-14,11.49,88.51,13.06,0.00,0.00,0.00
2013-05-07,18.43,81.57,13.06,0.00,0.00,0.00
2013-04-30,18.43,81.57,0.00,0.00,0.00,0.00
2013-04-23,50.72,49.28,0.00,0.00,0.00,0.00
2013-04-16,50.72,49.28,0.00,0.00,0.00,0.00
2013-04-09,43.63,56.37,0.00,0.00,0.00,0.00
2013-04-02,69.33,30.67,0.00,0.00,0.00,0.00
2013-03-26,70.82,29.18,0.00,0.00,0.00,0.00
2013-03-19,70.82,29.18,0.00,0.00,0.00,0.00
2013-03-12,70.82,29.18,0.00,0.00,0.00,0.00
2013-03-05,70.82,29.18,0.00,0.00,0.00,0.00
2013-02-26,70.82,29.18,0.00,0.00,0.00,0.00
2013-02-19,70.82,29.18,0.00,0.00,0.00,0.00
2013-02-12,70.82,29.18,0.00,0.00,0.00,0.00
2013-02-05,70.82,29.18,0.00,0.00,0.00,0.00
2013-01-29,70.82,29.18,0.00,0.00,0.00,0.00
2013-01-22,70.82,29.18,0.00,0.00,0.00,0.00
2013-01-15,70.82,29.18,0.00,0.00,0.00,0.00
2013-01-08,70.82,29.18,0.00,0.00,0.00,0.00
2013-01-01,70.82,29.18,0.00,0.00,0.00,0.00
2012-12-25,70.82,29.18,0.00,0.00,0.00,0.00
2012-12-18,70.82,29.18,0.00,0.00,0.00,0.00
2012-12-11,70.82,29.18,0.00,0.00,0.00,0.00
2012-12-04,70.82,29.18,0.00,0.00,0.00,0.00
2012-11-27,70.82,29.18,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-18,97.70,2.30,0.00,0.00,0.00,0.00
2012-09-11,97.84,2.16,0.00,0.00,0.00,0.00
2012-09-04,52.32,47.68,0.00,0.00,0.00,0.00
2012-08-28,47.69,52.31,0.00,0.00,0.00,0.00
2012-08-21,92.50,7.50,0.00,0.00,0.00,0.00
2012-08-14,91.40,8.60,0.04,0.00,0.00,0.00
2012-08-07,92.22,7.78,0.04,0.00,0.00,0.00
2012-07-31,92.22,7.78,0.04,0.00,0.00,0.00
2012-07-24,28.41,71.59,0.04,0.00,0.00,0.00
2012-07-17,28.41,71.59,0.04,0.00,0.00,0.00
2012-07-10,68.66,31.34,0.00,0.00,0.00,0.00
2012-07-03,70.35,29.65,0.00,0.00,0.00,0.00
2012-06-26,70.35,29.65,0.00,0.00,0.00,0.00
2012-06-19,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-12,100.00,0.00,0.00,0.00,0.00,0.00
2012-06-05,100.00,0.00,0.00,0.00,0.00,0.00
2012-05-29,92.43,7.57,0.00,0.00,0.00,0.00
2012-05-22,92.43,7.57,0.00,0.00,0.00,0.00
2012-05-15,87.32,12.68,0.00,0.00,0.00,0.00
2012-05-08,2.13,97.87,9.16,0.00,0.00,0.00
2012-05-01,2.11,97.89,9.16,0.00,0.00,0.00
2012-04-24,2.11,97.89,9.16,0.00,0.00,0.00
2012-04-17,0.00,100.00,13.62,0.00,0.00,0.00
2012-04-10,0.00,100.00,13.62,0.00,0.00,0.00
2012-04-03,1.56,98.44,0.00,0.00,0.00,0.00
2012-03-27,8.06,91.94,0.00,0.00,0.00,0.00
2012-03-20,11.52,88.48,0.00,0.00,0.00,0.00
2012-03-13,23.69,76.31,0.00,0.00,0.00,0.00
2012-03-06,24.15,75.85,0.00,0.00,0.00,0.00
2012-02-28,24.15,75.85,0.00,0.00,0.00,0.00
2012-02-21,24.15,75.85,0.00,0.00,0.00,0.00
2012-02-14,24.15,75.85,0.00,0.00,0.00,0.00
2012-02-07,28.57,71.43,0.00,0.00,0.00,0.00
2012-01-31,28.57,71.43,0.00,0.00,0.00,0.00
2012-01-24,27.69,72.31,0.00,0.00,0.00,0.00
2012-01-17,27.69,72.31,0.00,0.00,0.00,0.00
2012-01-10,79.11,20.89,0.00,0.00,0.00,0.00
2012-01-03,79.11,20.89,0.00,0.00,0.00,0.00
2011-12-27,58.82,41.18,0.00,0.00,0.00,0.00
2011-12-20,58.82,41.18,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-09,49.59,50.41,0.00,0.00,0.00,0.00
2011-08-02,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,58.11,41.89,0.00,0.00,0.00,0.00
2011-02-22,58.11,41.89,0.00,0.00,0.00,0.00
2011-02-15,58.11,41.89,0.00,0.00,0.00,0.00
2011-02-08,58.12,41.88,0.00,0.00,0.00,0.00
2011-02-01,58.12,41.88,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,100.00,0.00,0.00,0.00,0.00,0.00
