Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,45.96,54.04,1.45,0.00,0.00,0.00
2013-05-28,20.79,79.21,1.45,0.00,0.00,0.00
2013-05-21,6.02,93.98,44.92,0.00,0.00,0.00
2013-05-14,12.62,87.38,44.92,0.00,0.00,0.00
2013-05-07,12.61,87.39,44.92,0.00,0.00,0.00
2013-04-30,30.14,69.86,0.00,0.00,0.00,0.00
2013-04-23,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-04-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-03-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-26,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-19,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-12,100.00,0.00,0.00,0.00,0.00,0.00
2013-02-05,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-29,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-22,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-15,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-08,100.00,0.00,0.00,0.00,0.00,0.00
2013-01-01,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-18,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-11,100.00,0.00,0.00,0.00,0.00,0.00
2012-12-04,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-27,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-20,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-13,100.00,0.00,0.00,0.00,0.00,0.00
2012-11-06,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-30,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-23,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-16,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-09,100.00,0.00,0.00,0.00,0.00,0.00
2012-10-02,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-25,100.00,0.00,0.00,0.00,0.00,0.00
2012-09-18,1.72,98.28,0.00,0.00,0.00,0.00
2012-09-11,1.41,98.59,0.00,0.00,0.00,0.00
2012-09-04,1.41,98.59,0.00,0.00,0.00,0.00
2012-08-28,1.47,98.53,19.06,0.00,0.00,0.00
2012-08-21,1.19,98.81,19.06,0.00,0.00,0.00
2012-08-14,0.13,99.87,51.94,0.00,0.00,0.00
2012-08-07,0.11,99.89,51.94,0.00,0.00,0.00
2012-07-31,0.11,99.89,51.94,0.00,0.00,0.00
2012-07-24,0.11,99.89,51.94,0.00,0.00,0.00
2012-07-17,2.01,97.99,28.59,0.00,0.00,0.00
2012-07-10,58.42,41.58,0.00,0.00,0.00,0.00
2012-07-03,75.93,24.07,0.00,0.00,0.00,0.00
2012-06-26,75.93,24.07,0.00,0.00,0.00,0.00
2012-06-19,75.93,24.07,0.00,0.00,0.00,0.00
2012-06-12,75.93,24.07,0.00,0.00,0.00,0.00
2012-06-05,75.93,24.07,0.00,0.00,0.00,0.00
2012-05-29,8.17,91.83,24.15,0.00,0.00,0.00
2012-05-22,8.17,91.83,25.41,0.00,0.00,0.00
2012-05-15,7.51,92.49,55.86,0.00,0.00,0.00
2012-05-08,0.00,100.00,84.35,32.71,0.00,0.00
2012-05-01,0.00,100.00,84.35,32.71,0.00,0.00
2012-04-24,0.00,100.00,84.35,32.71,0.00,0.00
2012-04-17,0.00,100.00,95.97,51.45,0.00,0.00
2012-04-10,0.00,100.00,95.97,51.45,0.00,0.00
2012-04-03,0.00,100.00,87.19,0.00,0.00,0.00
2012-03-27,6.71,93.29,33.98,0.00,0.00,0.00
2012-03-20,11.06,88.94,18.28,0.00,0.00,0.00
2012-03-13,34.69,65.31,0.00,0.00,0.00,0.00
2012-03-06,87.87,12.13,0.00,0.00,0.00,0.00
2012-02-28,87.87,12.13,0.00,0.00,0.00,0.00
2012-02-21,87.87,12.13,0.00,0.00,0.00,0.00
2012-02-14,87.87,12.13,0.00,0.00,0.00,0.00
2012-02-07,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-31,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-24,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-17,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-10,100.00,0.00,0.00,0.00,0.00,0.00
2012-01-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-12-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-11-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-10-04,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-27,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-20,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-13,100.00,0.00,0.00,0.00,0.00,0.00
2011-09-06,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-30,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-23,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-16,100.00,0.00,0.00,0.00,0.00,0.00
2011-08-09,99.93,0.07,0.00,0.00,0.00,0.00
2011-08-02,99.93,0.07,0.00,0.00,0.00,0.00
2011-07-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-03,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-26,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-19,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-04-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-29,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-03-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-30,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-23,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-16,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,84.31,15.69,0.00,0.00,0.00,0.00
