Week,Nothing,D0,D1,D2,D3,D4
2013-07-16,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-09,100.00,0.00,0.00,0.00,0.00,0.00
2013-07-02,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-25,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-18,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-11,100.00,0.00,0.00,0.00,0.00,0.00
2013-06-04,100.00,0.00,0.00,0.00,0.00,0.00
2013-05-28,98.14,1.86,0.00,0.00,0.00,0.00
2013-05-21,96.57,3.43,0.00,0.00,0.00,0.00
2013-05-14,86.31,13.69,0.41,0.00,0.00,0.00
2013-05-07,86.31,13.69,0.41,0.00,0.00,0.00
2013-04-30,73.50,26.50,12.90,0.00,0.00,0.00
2013-04-23,73.50,26.50,12.90,0.00,0.00,0.00
2013-04-16,58.29,41.71,18.87,0.00,0.00,0.00
2013-04-09,29.63,70.37,48.27,21.59,0.00,0.00
2013-04-02,21.63,78.37,48.27,21.59,0.00,0.00
2013-03-26,21.63,78.37,48.27,21.53,0.00,0.00
2013-03-19,22.98,77.02,48.27,21.53,0.00,0.00
2013-03-12,16.13,83.87,60.37,21.53,0.00,0.00
2013-03-05,11.28,88.72,61.31,21.52,0.00,0.00
2013-02-26,11.35,88.65,61.79,21.52,0.00,0.00
2013-02-19,11.35,88.65,61.69,21.52,0.00,0.00
2013-02-12,11.35,88.65,61.69,21.52,0.00,0.00
2013-02-05,11.36,88.64,61.69,21.52,0.00,0.00
2013-01-29,11.44,88.56,61.87,24.39,0.00,0.00
2013-01-22,11.44,88.56,61.87,24.39,0.00,0.00
2013-01-15,11.44,88.56,61.87,24.39,0.00,0.00
2013-01-08,11.49,88.51,61.87,24.48,0.00,0.00
2013-01-01,11.50,88.50,61.46,24.48,0.00,0.00
2012-12-25,11.50,88.50,61.46,25.76,0.00,0.00
2012-12-18,11.50,88.50,61.46,25.76,0.00,0.00
2012-12-11,11.50,88.50,61.46,25.76,0.00,0.00
2012-12-04,11.46,88.54,61.46,25.76,0.00,0.00
2012-11-27,11.46,88.54,61.44,25.76,0.00,0.00
2012-11-20,12.65,87.35,53.71,15.65,0.00,0.00
2012-11-13,12.65,87.35,53.71,15.65,0.00,0.00
2012-11-06,9.01,90.99,60.37,24.32,0.00,0.00
2012-10-30,9.01,90.99,60.37,24.32,0.00,0.00
2012-10-23,4.54,95.46,80.20,35.52,4.76,0.00
2012-10-16,0.57,99.43,83.96,36.46,6.20,0.00
2012-10-09,0.43,99.57,87.24,51.29,9.93,0.00
2012-10-02,0.46,99.54,78.27,35.53,8.63,0.00
2012-09-25,0.49,99.51,61.25,35.35,8.66,0.00
2012-09-18,0.00,100.00,58.74,28.00,5.67,0.00
2012-09-11,0.00,100.00,56.26,27.84,5.55,0.00
2012-09-04,11.15,88.85,47.38,29.39,6.04,0.00
2012-08-28,50.41,49.59,40.74,29.90,6.18,0.00
2012-08-21,50.28,49.72,40.92,29.86,6.10,0.00
2012-08-14,48.73,51.27,43.12,34.65,8.95,0.00
2012-08-07,48.59,51.41,43.27,35.08,8.95,0.00
2012-07-31,48.59,51.41,43.27,35.19,9.12,0.00
2012-07-24,40.59,59.41,46.33,35.23,19.69,0.00
2012-07-17,47.60,52.40,40.34,26.77,18.68,0.00
2012-07-10,49.69,50.31,30.93,16.88,0.00,0.00
2012-07-03,63.17,36.83,17.01,0.00,0.00,0.00
2012-06-26,72.31,27.69,4.46,0.00,0.00,0.00
2012-06-19,85.89,14.11,0.00,0.00,0.00,0.00
2012-06-12,84.50,15.50,0.00,0.00,0.00,0.00
2012-06-05,88.32,11.68,0.00,0.00,0.00,0.00
2012-05-29,88.15,11.85,0.00,0.00,0.00,0.00
2012-05-22,75.58,24.42,0.00,0.00,0.00,0.00
2012-05-15,87.85,12.15,0.00,0.00,0.00,0.00
2012-05-08,87.85,12.15,0.00,0.00,0.00,0.00
2012-05-01,46.66,53.34,4.83,0.00,0.00,0.00
2012-04-24,46.66,53.34,4.53,0.00,0.00,0.00
2012-04-17,46.38,53.62,4.49,0.00,0.00,0.00
2012-04-10,46.38,53.62,4.49,0.00,0.00,0.00
2012-04-03,58.43,41.57,3.15,0.00,0.00,0.00
2012-03-27,58.43,41.57,0.52,0.00,0.00,0.00
2012-03-20,58.43,41.57,0.52,0.00,0.00,0.00
2012-03-13,58.43,41.57,0.52,0.00,0.00,0.00
2012-03-06,58.43,41.57,0.52,0.00,0.00,0.00
2012-02-28,58.43,41.57,0.52,0.00,0.00,0.00
2012-02-21,58.43,41.57,0.52,0.00,0.00,0.00
2012-02-14,58.43,41.57,0.52,0.00,0.00,0.00
2012-02-07,58.43,41.57,0.52,0.00,0.00,0.00
2012-01-31,58.43,41.57,0.52,0.00,0.00,0.00
2012-01-24,58.43,41.57,0.52,0.00,0.00,0.00
2012-01-17,58.43,41.57,0.00,0.00,0.00,0.00
2012-01-10,58.43,41.57,0.00,0.00,0.00,0.00
2012-01-03,58.43,41.57,0.00,0.00,0.00,0.00
2011-12-27,58.43,41.57,0.00,0.00,0.00,0.00
2011-12-20,58.43,41.57,0.00,0.00,0.00,0.00
2011-12-13,58.43,41.57,0.00,0.00,0.00,0.00
2011-12-06,76.73,23.27,0.00,0.00,0.00,0.00
2011-11-29,75.75,24.25,0.00,0.00,0.00,0.00
2011-11-22,73.04,26.96,0.00,0.00,0.00,0.00
2011-11-15,73.04,26.96,0.00,0.00,0.00,0.00
2011-11-08,72.84,27.16,0.00,0.00,0.00,0.00
2011-11-01,72.84,27.16,0.00,0.00,0.00,0.00
2011-10-25,77.50,22.50,0.00,0.00,0.00,0.00
2011-10-18,77.50,22.50,0.00,0.00,0.00,0.00
2011-10-11,52.49,47.51,0.00,0.00,0.00,0.00
2011-10-04,69.39,30.61,0.00,0.00,0.00,0.00
2011-09-27,65.61,34.39,0.00,0.00,0.00,0.00
2011-09-20,65.66,34.34,0.00,0.00,0.00,0.00
2011-09-13,65.66,34.34,0.00,0.00,0.00,0.00
2011-09-06,73.09,26.91,0.00,0.00,0.00,0.00
2011-08-30,73.01,26.99,0.00,0.00,0.00,0.00
2011-08-23,78.95,21.05,0.00,0.00,0.00,0.00
2011-08-16,78.02,21.98,0.00,0.00,0.00,0.00
2011-08-09,75.18,24.82,0.00,0.00,0.00,0.00
2011-08-02,75.18,24.82,0.00,0.00,0.00,0.00
2011-07-26,73.73,26.27,0.00,0.00,0.00,0.00
2011-07-19,89.97,10.03,0.00,0.00,0.00,0.00
2011-07-12,100.00,0.00,0.00,0.00,0.00,0.00
2011-07-05,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-28,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-21,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-14,100.00,0.00,0.00,0.00,0.00,0.00
2011-06-07,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-31,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-24,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-17,100.00,0.00,0.00,0.00,0.00,0.00
2011-05-10,99.83,0.17,0.00,0.00,0.00,0.00
2011-05-03,99.83,0.17,0.00,0.00,0.00,0.00
2011-04-26,99.83,0.17,0.00,0.00,0.00,0.00
2011-04-19,99.83,0.17,0.00,0.00,0.00,0.00
2011-04-12,99.83,0.17,0.00,0.00,0.00,0.00
2011-04-05,99.72,0.28,0.00,0.00,0.00,0.00
2011-03-29,99.72,0.28,0.00,0.00,0.00,0.00
2011-03-22,99.72,0.28,0.00,0.00,0.00,0.00
2011-03-15,99.72,0.28,0.00,0.00,0.00,0.00
2011-03-08,99.72,0.28,0.00,0.00,0.00,0.00
2011-03-01,99.72,0.28,0.00,0.00,0.00,0.00
2011-02-22,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-15,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-08,100.00,0.00,0.00,0.00,0.00,0.00
2011-02-01,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-25,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-18,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-11,100.00,0.00,0.00,0.00,0.00,0.00
2011-01-04,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-28,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-21,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-14,100.00,0.00,0.00,0.00,0.00,0.00
2010-12-07,95.33,4.67,0.00,0.00,0.00,0.00
2010-11-30,95.33,4.67,0.00,0.00,0.00,0.00
2010-11-23,95.33,4.67,0.00,0.00,0.00,0.00
2010-11-16,95.33,4.67,0.00,0.00,0.00,0.00
2010-11-09,100.00,0.00,0.00,0.00,0.00,0.00
2010-11-02,100.00,0.00,0.00,0.00,0.00,0.00
